numOfSyncs	occurences	perc	cdf
2	1	5	5
3	2	10	15
4	3	15	30
5	1	5	35
6	1	5	40
7	1	5	45
8	1	5	50
9	1	5	55
13	1	5	60
19	1	5	65
22	1	5	70
24	1	5	75
25	1	5	80
27	1	5	85
39	1	5	90
133	1	5	95
180	1	5	100
